This is the maximal cover of three p-p methods.
pt	y	ey
1.20503	0.21494	0.00994529
1.22335	0.217459	0.0102277
1.24196	0.220016	0.010512
1.26084	0.22261	0.0107988
1.28001	0.225244	0.011088
1.29948	0.227918	0.0113795
1.31923	0.230631	0.0116735
1.33929	0.233386	0.0119698
1.35966	0.236182	0.0122679
1.38033	0.239018	0.0125679
1.40132	0.241896	0.0128697
1.42263	0.244816	0.0131738
1.44426	0.247776	0.013478
1.46622	0.250777	0.0137833
1.48852	0.253818	0.0140886
1.51115	0.256898	0.0143937
1.53413	0.260017	0.0146976
1.55746	0.263173	0.0150009
1.58114	0.266365	0.0153013
1.60518	0.269592	0.015599
1.62959	0.272852	0.0158931
1.65437	0.276143	0.0161829
1.67952	0.279464	0.0164678
1.70506	0.282812	0.0167467
1.73099	0.286185	0.0170181
1.75731	0.289581	0.0172821
1.78403	0.292904	0.0176324
1.81116	0.296172	0.0180459
1.8387	0.299457	0.0184475
1.86665	0.302758	0.0188361
1.89504	0.306071	0.0192104
1.92385	0.309397	0.0195685
1.95311	0.312732	0.019909
1.9828	0.316075	0.0202305
2.01295	0.319424	0.0205321
2.04356	0.322777	0.020813
2.07464	0.326133	0.0210708
2.10618	0.329489	0.0213058
2.13821	0.332843	0.0215161
2.17072	0.336196	0.0217009
2.20373	0.339544	0.0218596
2.23724	0.342887	0.0219905
2.27126	0.346223	0.0220937
2.30579	0.349552	0.0221678
2.34085	0.352873	0.0222119
2.37645	0.356185	0.0222255
2.41258	0.359488	0.0222069
2.44927	0.362782	0.0221553
2.48651	0.366067	0.0220701
2.52432	0.369225	0.0219299
2.5627	0.372382	0.0217945
2.60167	0.375534	0.0216598
2.64123	0.378684	0.0215388
2.68139	0.381824	0.0214191
2.72216	0.38496	0.0213216
2.76355	0.388082	0.0212258
2.80558	0.391198	0.021159
2.84824	0.394298	0.0210944
2.89155	0.397391	0.0210637
2.93551	0.400465	0.0210354
2.98015	0.403532	0.0210436
3.02546	0.406579	0.0210544
3.07147	0.409619	0.0211015
3.11817	0.41264	0.021151
3.16559	0.415654	0.0212339
3.21372	0.418652	0.021319
3.26259	0.421643	0.0214318
3.3122	0.424622	0.0215464
3.36256	0.427596	0.0216808
3.41369	0.430562	0.0218164
3.4656	0.433526	0.0219623
3.51829	0.436487	0.0221086
3.57179	0.438765	0.0224344
3.6261	0.440958	0.0227281
3.68124	0.443071	0.0229925
3.73721	0.44511	0.0232305
3.79404	0.447074	0.0234448
3.85173	0.448969	0.023638
3.9103	0.450797	0.0238112
3.96976	0.452561	0.0239673
4.03012	0.454264	0.0241079
4.0914	0.455909	0.0242343
4.15361	0.457498	0.0243489
4.21677	0.459031	0.024451
4.28089	0.460512	0.024542
4.34598	0.46194	0.0246206
4.41207	0.463316	0.0246864
4.47915	0.46464	0.0247384
4.54726	0.46591	0.0247747
4.61641	0.467129	0.0247958
4.6866	0.468295	0.0248001
4.75786	0.469586	0.0249633
4.83021	0.470883	0.0251673
4.90366	0.472132	0.0253547
4.97822	0.473333	0.0255258
5.05392	0.474487	0.0256815
5.13076	0.475596	0.025821
5.20878	0.476659	0.0259442
5.28798	0.477679	0.0260529
5.36839	0.478657	0.0261454
5.45002	0.479593	0.0262235
5.53289	0.480488	0.0262862
5.61702	0.481344	0.0263346
5.70243	0.482161	0.0263691
5.78914	0.482941	0.0263896
5.87717	0.483685	0.0263963
5.96653	0.484393	0.0263897
6.05726	0.48463	0.0265496
6.14936	0.484865	0.0267102
6.24287	0.485095	0.0268745
6.33779	0.485321	0.0270413
6.43416	0.485538	0.0272155
6.532	0.485747	0.0273941
6.63132	0.485943	0.0275844
6.73215	0.48613	0.0277815
6.83452	0.486298	0.027995
6.93844	0.486455	0.0282182
7.04395	0.486589	0.0284628
7.15105	0.486709	0.0287202
7.25979	0.486803	0.0290045
7.37018	0.486882	0.0293045
7.48225	0.48693	0.0296365
7.59602	0.486962	0.0299873
7.71152	0.48696	0.0303743
7.82878	0.48694	0.0307824
7.94782	0.486885	0.0312298
8.06867	0.486812	0.0316998
8.19136	0.486703	0.0322105
8.31591	0.486576	0.0327439
8.44236	0.486413	0.0333173
8.57073	0.486233	0.0339124
8.70106	0.486021	0.0345444
8.83336	0.485793	0.0351958
8.96768	0.485537	0.0358787
9.10404	0.485269	0.0365774
9.24247	0.48498	0.0373002
9.38301	0.484681	0.0380342
9.52568	0.484369	0.0387833
9.67052	0.484053	0.0395382
9.81757	0.483731	0.0402983
9.96685	0.483097	0.0413167
10.1184	0.482444	0.0423417
10.2723	0.481775	0.0433729
10.4285	0.481089	0.0444106
10.587	0.480387	0.0454537
10.748	0.479671	0.0465021
10.9114	0.47894	0.0475556
11.0774	0.478195	0.0486135
11.2458	0.477436	0.049676
11.4168	0.476664	0.0507432
11.5904	0.475879	0.0518151
11.7666	0.47508	0.0528922
11.9455	0.47427	0.0539731
12.1272	0.473446	0.0550598
12.3116	0.472609	0.0561514
12.4988	0.471759	0.0572484
12.6888	0.470897	0.058351
12.8818	0.470021	0.0594602
13.0777	0.469133	0.0605759
13.2765	0.46823	0.0616989
13.4784	0.467313	0.0628294
13.6833	0.466382	0.0639682
13.8914	0.465436	0.0651152
14.1026	0.464475	0.0662718
14.3171	0.463499	0.0674383
14.5348	0.462507	0.0686144
14.7558	0.461498	0.0698022
14.9801	0.460472	0.0710012
15.2079	0.459429	0.0722135
15.4392	0.458369	0.0734377
15.6739	0.45729	0.0746751
15.9123	0.456192	0.075927
16.1542	0.455076	0.0771935
16.3999	0.453941	0.0784743
16.6492	0.452785	0.0797709
16.9024	0.451609	0.0810833
17.1594	0.450414	0.0824117
17.4203	0.449198	0.0837566
17.6852	0.447961	0.0851182
17.9541	0.446705	0.0864966
18.2271	0.445428	0.0878919
18.5043	0.444129	0.0893045
18.7856	0.442811	0.0907342
19.0713	0.441472	0.092181
19.3613	0.440114	0.0936444
19.6557	0.438735	0.0951247
19.9546	0.437337	0.0966212
20.258	0.43592	0.098134
20.566	0.434485	0.0996629
20.8787	0.433031	0.101207
21.1962	0.431558	0.102767
21.5185	0.430069	0.104341
21.8457	0.428564	0.105929
22.1779	0.427042	0.107531
22.5151	0.425503	0.109146
22.8575	0.423951	0.110774
23.205	0.422384	0.112415
23.5579	0.420802	0.114067
23.9161	0.419208	0.11573
24.2797	0.417602	0.117404
24.6489	0.415983	0.119088
25.0237	0.414352	0.120781
25.4042	0.412711	0.122483
25.7905	0.41106	0.124193
26.1827	0.409399	0.125912
26.5808	0.40773	0.127638
26.985	0.406051	0.129371
27.3953	0.404365	0.13111
27.8119	0.402671	0.132854
28.2348	0.40097	0.134605
28.6641	0.399263	0.13636
29.0999	0.397551	0.138119
29.5424	0.395832	0.139883
