This is our final result, combined different p+p methods as well as the flow effect.
pt	y	ey
4.28089	0.468814	0.0325668
4.34598	0.46983	0.0322343
4.41207	0.470875	0.0319698
4.47915	0.471873	0.0316972
4.54726	0.472827	0.0314177
4.61641	0.473738	0.0311324
4.6866	0.474608	0.0308411
4.75786	0.475439	0.0305455
4.83021	0.476232	0.0302462
4.90366	0.476991	0.0299435
4.97822	0.477715	0.0296387
5.05392	0.478236	0.0294501
5.13076	0.478755	0.0292635
5.20878	0.47927	0.0290812
5.28798	0.479779	0.0289051
5.36839	0.480282	0.0287373
5.45002	0.480775	0.0285794
5.53289	0.481258	0.0284334
5.61702	0.481728	0.0283004
5.70243	0.482186	0.0281826
5.78914	0.482627	0.02808
5.87717	0.483054	0.0279955
5.96653	0.483463	0.0279278
6.05726	0.483854	0.0278804
6.14936	0.484226	0.027851
6.24287	0.484578	0.0278438
6.33779	0.48491	0.0278551
6.43416	0.485222	0.0278904
6.532	0.485512	0.0279446
6.63132	0.48578	0.0280246
6.73215	0.486028	0.0281239
6.83452	0.486251	0.0282508
6.93844	0.486455	0.0283973
7.04395	0.486634	0.0285735
7.15105	0.486793	0.0287697
7.25979	0.486927	0.0289972
7.37018	0.487043	0.0292452
7.48225	0.487132	0.0295258
7.59602	0.487204	0.0298268
7.71152	0.487251	0.0301608
7.82878	0.487282	0.0305147
7.94782	0.487288	0.0309004
8.06867	0.487282	0.0313046
8.19136	0.487253	0.0317375
8.31591	0.487213	0.0321865
8.44236	0.487154	0.0326594
8.57073	0.487088	0.0331448
8.70106	0.487008	0.0336473
8.83336	0.486923	0.0341577
8.96768	0.486832	0.034677
9.10404	0.486739	0.0351991
9.24247	0.486208	0.0361726
9.38301	0.485654	0.0371563
9.52568	0.485079	0.0381497
9.67052	0.484483	0.0391521
9.81757	0.483867	0.0401623
9.96685	0.483233	0.0411802
10.1184	0.482581	0.0422046
10.2723	0.481912	0.0432354
10.4285	0.481227	0.0442725
10.587	0.480526	0.045315
10.748	0.47981	0.0463629
10.9114	0.47908	0.0474158
11.0774	0.478336	0.0484731
11.2458	0.477577	0.049535
11.4168	0.476806	0.0506015
